,Date,Match,Result,Score,Competition,manager
36,2020-02-20,Olympiakos v Arsenal,W,0-1,UEFA Europa League,Mikel Arteta
37,2020-02-23,Arsenal v Everton,W,3-2,Premier League,Mikel Arteta
38,2020-02-27,Arsenal v Olympiakos,L,1-2,UEFA Europa League,Mikel Arteta
39,2020-03-02,Portsmouth v Arsenal,W,0-2,FA Cup,Mikel Arteta
40,2020-03-07,Arsenal v West Ham United,W,1-0,Premier League,Mikel Arteta
41,2020-06-17,Manchester City v Arsenal,L,3-0,Premier League,Mikel Arteta
42,2020-06-20,Brighton and Hove Albion v Arsenal,L,2-1,Premier League,Mikel Arteta
43,2020-06-25,Southampton v Arsenal,W,0-2,Premier League,Mikel Arteta
44,2020-06-28,Sheffield United v Arsenal,W,1-2,FA Cup,Mikel Arteta
45,2020-07-01,Arsenal v Norwich City,W,4-0,Premier League,Mikel Arteta
